Tissue_ID,Longitude,Latitude,Source Database Pop,Island and Site
QTo-W-0305,-118.4360671,32.8739034,SCl,San Clemente QUETOM  Eagle #3
QTo-W-0306,-118.4360671,32.8739034,SCl,San Clemente QUETOM  Eagle #3
QTo-W-0307,-118.4360671,32.8739034,SCl,San Clemente QUETOM  Eagle #3
QTo-W-0308,-118.4360671,32.8739034,SCl,San Clemente QUETOM  Eagle #3
QTo-W-0309,-118.4360671,32.8739034,SCl,San Clemente QUETOM  Eagle #3
QTo-W-0310,-118.5051392,32.93295204,SCl,San Clemente (Lemon Tank Grove)
QTo-W-0311,-118.5051392,32.93295204,SCl,San Clemente (Lemon Tank Grove) 
QTo-W-0312,-118.4235394,32.87383918,SCl,"San Clemente QUETOM BRYCE EH,BSN"
QTo-W-0313,-118.4235394,32.87383918,SCl,"San Clemente QUETOM BRYCE EH,BSN"
QTo-W-0314,-118.4235394,32.87383918,SCl,"San Clemente QUETOM BRYCE EH,BSN"
QTo-W-0315,-118.4235394,32.87383918,SCl,"San Clemente QUETOM BRYCE EH,BSN"
QTo-W-0316,-118.4235394,32.87383918,SCl,"San Clemente QUETOM BRYCE EH,BSN"
QTo-W-0317,-118.4482605,32.85866431,SCl,San Clemente QUETOM OP3 EH BSN
